"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"avis-init-table-1","limit","db/changelog/init/00_avis_init_table.yaml","2025-12-01T09:31:11.788","1","EXECUTED","9:b8885b82dea9257afcb8e816a43e175c","createTable tableName=com_avis","","","4.29.2","()","","4577871644"
"conf-init-table-1","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.794","2","EXECUTED","9:036793b8b8a2908e9bda973046d2ce82","createTable tableName=com_entorn","","","4.29.2","()","","4577871644"
"conf-init-table-2","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.799","3","EXECUTED","9:21f3df8dc8146081fac0df8d956365fd","createTable tableName=com_app","","","4.29.2","()","","4577871644"
"conf-init-table-3","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.804","4","EXECUTED","9:bd08b74ee7174ff1322a5f3f60ee4a6e","createTable tableName=com_entorn_app","","","4.29.2","()","","4577871644"
"conf-init-table-6","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.808","5","EXECUTED","9:4d45bba86902062b727d201aa2c74833","createTable tableName=com_integracio","","","4.29.2","()","","4577871644"
"conf-init-table-4","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.813","6","EXECUTED","9:1c9c9b525cc18bea56acc790901d48db","createTable tableName=com_app_integracio","","","4.29.2","()","","4577871644"
"conf-init-table-5","limit","db/changelog/init/00_conf_init_table.yaml","2025-12-01T09:31:11.818","7","EXECUTED","9:dabc550a8d91bacae3e331ea1f444d27","createTable tableName=com_app_subsistema","","","4.29.2","()","","4577871644"
"est-init-table-1","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.823","8","EXECUTED","9:dc3d47d7a3e961f7a8c8c30bdd075115","createTable tableName=com_est_dimensio","","","4.29.2","()","","4577871644"
"est-init-table-2","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.828","9","EXECUTED","9:d5ee8f2b52d6e7f2e94cf40a27baf51e","createTable tableName=com_est_dimensio_valor","","","4.29.2","()","","4577871644"
"est-init-table-3","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.834","10","EXECUTED","9:482a9283052dbb21208ce5a269d205c6","createTable tableName=com_est_indicador","","","4.29.2","()","","4577871644"
"est-init-table-4","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.84","11","EXECUTED","9:e0e75c75cef999ac5c554d1eaa890011","createTable tableName=com_est_temps","","","4.29.2","()","","4577871644"
"est-init-table-5","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.847","12","EXECUTED","9:d0190fdb505fd790ab8088b8ee2c9d5c","createTable tableName=com_est_fet","","","4.29.2","()","","4577871644"
"est-init-table-7","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.857","13","EXECUTED","9:0d13b9268567030f623a492d8cfbef6c","createTable tableName=com_est_widget","","","4.29.2","()","","4577871644"
"est-init-table-8","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.862","14","EXECUTED","9:3b32cfe36e0c406ae70a5eaebf7de262","createTable tableName=com_est_widget_dim_valor","","","4.29.2","()","","4577871644"
"est-init-table-9","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.869","15","EXECUTED","9:4c607d22fd260f8317798122909fc4a6","createTable tableName=com_est_indicador_table","","","4.29.2","()","","4577871644"
"est-init-table-10","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.875","16","EXECUTED","9:e5b4a14c9a07a07ffbda8d8b7e01e776","createTable tableName=com_est_dashboard","","","4.29.2","()","","4577871644"
"est-init-table-11","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.882","17","EXECUTED","9:d2c6c9078702be4bd3e5dfad29942487","createTable tableName=com_est_dashboard_item","","","4.29.2","()","","4577871644"
"est-init-table-12","limit","db/changelog/init/00_est_init_table.yaml","2025-12-01T09:31:11.893","18","EXECUTED","9:3e14a87a9f8b7585bf82bb642b19f34f","createTable tableName=com_est_dashboard_titol","","","4.29.2","()","","4577871644"
"monitor-init-table-1","limit","db/changelog/init/00_monitor_init_table.yaml","2025-12-01T09:31:11.901","19","EXECUTED","9:3c03c056d75f98f9824cf4eb58328615","createTable tableName=com_monitor","","","4.29.2","()","","4577871644"
